iter	Passed	Remaining
199	470	1881
200	471	1873
201	472	1865
202	473	1859
203	486	1899
204	487	1892
205	488	1884
206	489	1876
207	500	1907
208	502	1900
209	503	1893
210	504	1885
211	505	1877
212	515	1904
213	517	1899
214	518	1891
215	519	1884
216	520	1876
217	520	1868
218	532	1899
219	533	1891
220	534	1883
221	535	1875
222	536	1868
223	537	1861
224	538	1854
225	539	1849
226	545	1857
227	546	1850
228	547	1843
229	548	1836
230	549	1829
231	550	1822
232	551	1817
233	553	1810
234	554	1804
235	555	1798
236	556	1791
237	557	1785
238	562	1790
239	563	1784
240	564	1777
241	565	1771
242	568	1771
243	569	1765
244	570	1758
245	571	1751
246	572	1745
247	581	1762
248	586	1769
249	587	1762
250	588	1756
251	590	1753
252	600	1771
253	601	1765
254	601	1758
255	602	1751
256	603	1744
257	604	1738
258	605	1731
259	606	1724
260	607	1718
261	616	1737
262	617	1731
263	618	1725
264	619	1718
265	620	1712
266	621	1707
267	622	1701
268	623	1695
269	625	1689
270	631	1698
271	633	1696
272	634	1689
273	635	1683
274	636	1677
275	637	1671
276	638	1665
277	639	1660
278	640	1654
279	646	1661
280	647	1657
281	648	1652
282	649	1646
283	650	1640
284	651	1634
285	652	1628
286	653	1623
287	654	1617
288	655	1612
289	663	1624
290	664	1619
291	665	1613
292	666	1608
293	667	1602
294	668	1597
295	669	1591
296	670	1586
297	681	1605
298	682	1600
299	683	1595
300	684	1590
301	685	1584
302	686	1579
303	688	1575
304	694	1583
305	695	1578
306	697	1573
307	698	1568
308	699	1563
309	700	1558
310	700	1552
311	702	1549
312	704	1547
313	705	1542
314	706	1536
315	711	1541
316	712	1536
317	714	1531
318	714	1526
319	715	1521
320	717	1517
321	718	1512
322	719	1508
323	723	1509
324	724	1504
325	725	1500
326	727	1497
327	728	1493
328	729	1488
329	731	1485
330	732	1481
331	733	1476
332	734	1470
333	735	1466
334	736	1462
335	737	1457
336	738	1452
337	739	1448
338	742	1446
339	742	1442
340	743	1437
341	744	1433
342	748	1432
343	748	1428
344	749	1423
345	750	1419
346	751	1414
347	752	1410
348	758	1415
349	759	1410
350	761	1407
351	762	1403
352	763	1399
353	765	1396
354	765	1391
355	766	1386
356	767	1382
357	768	1378
358	770	1376
359	777	1382
360	778	1378
361	779	1374
362	780	1369
363	781	1365
364	782	1361
365	783	1356
366	784	1352
367	784	1348
368	786	1344
369	786	1339
370	787	1335
371	795	1342
372	796	1338
373	796	1333
374	797	1329
375	798	1325
376	799	1321
377	800	1317
378	801	1313
379	802	1309
380	803	1305
381	812	1314
382	813	1310
383	814	1306
384	815	1302
385	815	1297
386	816	1293
387	817	1289
388	818	1285
389	827	1293
390	828	1290
391	829	1286
392	830	1282
393	831	1278
394	832	1274
395	832	1270
396	843	1280
397	844	1278
398	845	1274
399	846	1270
400	848	1266
401	848	1262
402	852	1263
403	854	1260
404	855	1256
405	857	1254
406	858	1250
407	860	1248
408	861	1244
409	862	1240
410	863	1236
411	864	1233
412	869	1235
413	871	1233
414	872	1229
415	873	1226
416	877	1226
417	878	1223
418	879	1219
419	880	1215
420	881	1211
421	883	1209
422	884	1206
423	885	1203
424	886	1199
425	887	1195
426	888	1192
427	889	1189
428	891	1186
429	892	1183
430	893	1179
431	894	1175
432	901	1180
433	902	1177
434	903	1173
435	907	1173
436	908	1169
437	909	1166
438	910	1163
439	916	1166
440	917	1163
441	918	1160
442	922	1160
443	923	1156
444	924	1153
445	925	1149
446	926	1146
447	927	1142
448	928	1139
449	934	1141
450	939	1143
451	941	1141
452	942	1137
453	942	1133
454	943	1130
455	947	1130
456	954	1133
457	955	1130
458	956	1127
459	957	1123
460	957	1120
461	958	1116
462	959	1113
463	960	1109
464	961	1106
465	970	1112
466	971	1109
467	972	1105
468	973	1102
469	974	1099
470	975	1095
471	976	1092
472	977	1088
473	977	1085
474	987	1091
475	988	1087
476	989	1084
477	989	1081
478	990	1077
479	991	1074
480	992	1070
481	993	1067
482	994	1064
483	995	1061
484	996	1058
485	997	1055
486	998	1052
487	1000	1049
488	1001	1046
489	1013	1054
490	1014	1051
491	1015	1048
492	1016	1045
493	1017	1042
494	1018	1039
495	1020	1036
496	1028	1041
497	1029	1038
498	1031	1035
499	1032	1032
500	1037	1033
501	1038	1030
502	1044	1032
503	1046	1029
504	1048	1027
505	1052	1027
506	1053	1024
507	1055	1021
508	1056	1019
509	1064	1022
510	1065	1020
511	1066	1016
512	1067	1013
513	1068	1010
514	1069	1007
515	1070	1004
516	1076	1005
517	1077	1002
518	1077	999
519	1078	995
520	1079	992
521	1080	989
522	1081	986
523	1082	983
524	1083	980
525	1090	982
526	1091	979
527	1092	976
528	1093	973
529	1094	970
530	1095	967
531	1106	973
532	1108	970
533	1109	967
534	1110	964
535	1110	961
536	1112	958
537	1112	955
538	1113	952
539	1123	957
540	1124	954
541	1125	951
542	1126	948
543	1127	945
544	1128	942
545	1129	939
546	1130	936
547	1131	933
548	1140	936
549	1141	933
550	1141	930
551	1142	927
552	1143	924
553	1144	921
554	1145	918
555	1146	915
556	1157	920
557	1158	917
558	1159	914
559	1160	911
560	1161	908
561	1162	905
562	1164	903
563	1173	907
564	1175	904
565	1175	901
566	1176	898
567	1177	895
568	1181	895
569	1182	892
570	1183	889
571	1184	886
572	1185	883
573	1188	881
574	1191	880
575	1192	877
576	1194	875
577	1195	872
578	1197	870
579	1198	867
580	1199	864
581	1200	862
582	1201	859
583	1202	856
584	1203	853
585	1205	852
586	1211	852
587	1212	849
588	1213	846
589	1214	843
590	1215	840
591	1215	838
592	1216	835
593	1217	832
594	1218	829
595	1222	828
596	1226	827
597	1227	824
598	1227	822
599	1228	819
600	1229	816
601	1230	813
602	1231	810
603	1232	807
604	1233	805
605	1242	808
606	1243	805
607	1244	802
608	1245	799
609	1246	796
610	1247	794
611	1248	791
612	1262	797
613	1263	794
614	1264	791
615	1265	788
616	1266	786
617	1267	783
618	1268	780
619	1277	783
620	1278	780
621	1279	777
622	1280	774
623	1281	772
624	1282	769
625	1283	766
626	1287	765
627	1292	765
628	1293	762
629	1294	760
630	1297	758
631	1299	756
632	1300	754
633	1301	751
634	1303	749
635	1308	749
636	1309	746
637	1310	743
638	1311	740
639	1312	738
640	1313	735
641	1314	733
642	1315	730
643	1316	727
644	1317	725
645	1319	722
646	1320	720
647	1321	717
648	1322	715
649	1323	712
650	1325	710
651	1325	707
652	1326	705
653	1327	702
654	1335	703
655	1335	700
656	1339	699
657	1340	696
658	1341	694
659	1342	691
660	1344	689
661	1345	686
662	1351	686
663	1352	684
664	1355	682
665	1356	680
666	1357	677
667	1358	674
668	1358	672
669	1365	672
670	1368	670
671	1369	668
672	1370	665
673	1371	663
674	1372	660
675	1372	658
676	1373	655
677	1383	657
678	1385	655
679	1386	652
680	1387	649
681	1388	647
682	1389	644
683	1391	642
684	1392	640
685	1399	640
686	1401	638
687	1402	635
688	1403	633
689	1413	635
690	1417	633
691	1418	631
692	1419	628
693	1420	626
694	1432	628
695	1433	626
696	1434	623
697	1435	620
698	1436	618
699	1437	615
700	1438	613
701	1439	610
702	1440	608
703	1441	605
704	1446	605
705	1447	602
706	1449	600
707	1450	598
708	1452	596
709	1459	595
710	1464	595
711	1465	592
712	1469	591
713	1470	589
714	1471	586
715	1472	584
716	1473	581
717	1486	583
718	1487	581
719	1488	578
720	1488	576
721	1490	573
722	1500	575
723	1502	572
724	1503	570
725	1504	567
726	1505	565
727	1506	562
728	1506	560
729	1507	557
730	1516	558
731	1519	556
732	1520	553
733	1520	551
734	1521	548
735	1522	546
736	1523	543
737	1532	544
738	1534	541
739	1535	539
740	1536	536
741	1536	534
742	1537	531
743	1538	529
744	1539	526
745	1540	524
746	1549	524
747	1550	522
748	1551	519
749	1552	517
750	1553	515
751	1554	512
752	1555	510
753	1556	507
754	1557	505
755	1558	502
756	1559	500
757	1560	498
758	1561	495
759	1562	493
760	1562	490
761	1563	488
762	1565	486
763	1566	483
764	1567	481
765	1568	479
766	1569	476
767	1570	474
768	1570	471
769	1580	472
770	1581	469
771	1582	467
772	1583	465
773	1584	462
774	1585	460
775	1586	458
776	1597	458
777	1598	456
778	1599	453
779	1600	451
780	1601	449
781	1611	449
782	1616	447
783	1617	445
784	1631	446
785	1632	444
786	1633	441
787	1633	439
788	1636	437
789	1645	437
790	1646	435
791	1649	433
792	1659	433
793	1660	430
794	1661	428
795	1662	426
796	1663	423
797	1664	421
798	1674	421
799	1675	418
800	1676	416
801	1677	414
802	1678	411
803	1679	409
804	1680	407
805	1689	406
806	1690	404
807	1692	402
808	1693	399
809	1693	397
810	1694	394
811	1695	392
812	1706	392
813	1709	390
814	1710	388
815	1711	386
816	1720	385
817	1721	383
818	1722	380
819	1723	378
820	1724	376
821	1725	373
822	1726	371
823	1738	371
824	1739	368
825	1740	366
826	1740	364
827	1741	361
828	1742	359
829	1753	359
830	1754	356
831	1755	354
832	1756	352
833	1757	349
834	1758	347
835	1759	345
836	1766	344
837	1767	341
838	1768	339
839	1769	337
840	1770	334
841	1771	332
842	1772	330
843	1773	327
844	1784	327
845	1785	324
846	1786	322
847	1787	320
848	1788	318
849	1789	315
850	1790	313
851	1792	311
852	1793	309
853	1794	306
854	1803	305
855	1805	303
856	1806	301
857	1815	300
858	1818	298
859	1819	296
860	1820	293
861	1821	291
862	1822	289
863	1832	288
864	1834	286
865	1835	283
866	1836	281
867	1837	279
868	1841	277
869	1848	276
870	1849	273
871	1850	271
872	1851	269
873	1852	267
874	1857	265
875	1866	264
876	1867	261
877	1868	259
878	1871	257
879	1872	255
880	1873	253
881	1874	250
882	1881	249
883	1882	247
884	1883	244
885	1886	242
886	1887	240
887	1888	238
888	1889	235
889	1896	234
890	1898	232
891	1899	229
892	1903	228
893	1904	225
894	1905	223
895	1914	222
896	1917	220
897	1918	217
898	1919	215
899	1921	213
900	1922	211
901	1923	208
902	1924	206
903	1925	204
904	1926	202
905	1929	200
906	1930	197
907	1930	195
908	1931	193
909	1932	191
910	1941	189
911	1944	187
912	1946	185
913	1947	183
914	1948	180
915	1958	179
916	1960	177
917	1961	175
918	1962	172
919	1963	170
920	1964	168
921	1965	166
922	1971	164
923	1976	162
924	1977	160
925	1978	158
926	1979	155
927	1980	153
928	1991	152
929	1993	150
930	1994	147
931	1995	145
932	1996	143
933	2002	141
934	2008	139
935	2009	137
936	2010	135
937	2011	132
938	2012	130
939	2015	128
940	2025	126
941	2026	124
942	2027	122
943	2028	120
944	2029	118
945	2030	115
946	2038	114
947	2041	111
948	2042	109
949	2043	107
950	2044	105
951	2045	103
952	2055	101
953	2056	99
954	2057	96
955	2058	94
956	2059	92
957	2060	90
958	2061	88
959	2062	85
960	2063	83
961	2071	81
962	2072	79
963	2073	77
964	2074	75
965	2075	73
966	2076	70
967	2077	68
968	2077	66
969	2078	64
970	2086	62
971	2087	60
972	2088	57
973	2089	55
974	2090	53
975	2091	51
976	2092	49
977	2093	47
978	2102	45
979	2103	42
980	2104	40
981	2105	38
982	2106	36
983	2107	34
984	2108	32
985	2109	29
986	2119	27
987	2120	25
988	2121	23
989	2122	21
990	2123	19
991	2124	17
992	2126	14
993	2131	12
994	2133	10
995	2134	8
996	2135	6
997	2136	4
998	2137	2
999	2138	0
